1.00E+00	3.12E+04	4.84E+03	2.13E+01
1.10E+00	3.12E+04	4.84E+03	2.13E+01
1.20E+00	3.12E+04	4.84E+03	2.13E+01
1.40E+00	3.12E+04	4.84E+03	2.13E+01
1.60E+00	3.12E+04	4.84E+03	2.13E+01
1.80E+00	3.12E+04	4.84E+03	2.13E+01
2.00E+00	3.12E+04	4.84E+03	2.13E+01
2.20E+00	3.12E+04	4.84E+03	2.13E+01
2.50E+00	3.12E+04	4.84E+03	2.13E+01
2.80E+00	3.12E+04	4.84E+03	2.13E+01
3.20E+00	3.12E+04	4.84E+03	2.13E+01
3.50E+00	3.12E+04	4.84E+03	2.13E+01
4.00E+00	3.12E+04	4.84E+03	2.13E+01
4.50E+00	3.12E+04	4.84E+03	2.13E+01
5.00E+00	3.12E+04	4.84E+03	2.13E+01
5.50E+00	3.12E+04	4.84E+03	2.13E+01
6.30E+00	3.12E+04	4.84E+03	2.13E+01
7.10E+00	3.12E+04	4.84E+03	2.13E+01
8.00E+00	3.12E+04	4.84E+03	2.13E+01
9.00E+00	3.12E+04	4.84E+03	2.13E+01
1.00E+01	3.12E+04	4.84E+03	2.13E+01
1.10E+01	3.12E+04	4.84E+03	2.13E+01
1.20E+01	3.12E+04	4.84E+03	2.13E+01
1.40E+01	3.12E+04	4.84E+03	2.13E+01
1.60E+01	3.12E+04	4.84E+03	2.13E+01
1.80E+01	3.12E+04	4.84E+03	2.13E+01
2.00E+01	3.12E+04	4.84E+03	2.13E+01
2.20E+01	3.12E+04	4.84E+03	2.13E+01
2.50E+01	3.12E+04	4.84E+03	2.13E+01
2.80E+01	3.12E+04	4.84E+03	2.13E+01
3.20E+01	3.12E+04	4.84E+03	2.13E+01
3.50E+01	3.12E+04	4.84E+03	2.13E+01
4.00E+01	3.12E+04	4.84E+03	2.13E+01
4.50E+01	3.12E+04	4.84E+03	2.13E+01
5.00E+01	3.12E+04	4.84E+03	2.13E+01
5.50E+01	3.12E+04	4.84E+03	2.13E+01
6.30E+01	3.12E+04	4.84E+03	2.13E+01
7.10E+01	3.12E+04	4.83E+03	2.13E+01
8.00E+01	3.12E+04	4.83E+03	2.13E+01
9.00E+01	3.12E+04	4.83E+03	2.12E+01
1.00E+02	3.12E+04	4.83E+03	2.12E+01
1.10E+02	3.12E+04	4.83E+03	2.12E+01
1.20E+02	3.12E+04	4.83E+03	2.12E+01
1.40E+02	3.12E+04	4.82E+03	2.12E+01
1.60E+02	3.12E+04	4.82E+03	2.12E+01
1.80E+02	3.12E+04	4.81E+03	2.11E+01
2.00E+02	3.12E+04	4.80E+03	2.11E+01
2.20E+02	3.12E+04	4.79E+03	2.10E+01
2.50E+02	3.12E+04	4.78E+03	2.09E+01
2.80E+02	3.12E+04	4.76E+03	2.08E+01
3.20E+02	3.11E+04	4.73E+03	2.07E+01
3.50E+02	3.11E+04	4.71E+03	2.06E+01
4.00E+02	3.10E+04	4.67E+03	2.04E+01
4.50E+02	3.10E+04	4.63E+03	2.01E+01
5.00E+02	3.09E+04	4.58E+03	1.99E+01
5.50E+02	3.08E+04	4.53E+03	1.96E+01
6.30E+02	3.06E+04	4.45E+03	1.92E+01
7.10E+02	3.04E+04	4.37E+03	1.88E+01
8.00E+02	3.01E+04	4.27E+03	1.83E+01
9.00E+02	2.98E+04	4.16E+03	1.78E+01
1.00E+03	2.95E+04	4.05E+03	1.72E+01
1.10E+03	2.92E+04	3.94E+03	1.67E+01
1.20E+03	2.88E+04	3.84E+03	1.61E+01
1.40E+03	2.81E+04	3.63E+03	1.51E+01
1.60E+03	2.73E+04	3.43E+03	1.41E+01
1.80E+03	2.65E+04	3.24E+03	1.32E+01
2.00E+03	2.58E+04	3.06E+03	1.24E+01
2.20E+03	2.51E+04	2.89E+03	1.17E+01
2.50E+03	2.40E+04	2.66E+03	1.06E+01
2.80E+03	2.29E+04	2.46E+03	9.72E+00
3.20E+03	2.16E+04	2.22E+03	8.65E+00
3.50E+03	2.07E+04	2.06E+03	7.94E+00
4.00E+03	1.92E+04	1.82E+03	6.90E+00
4.50E+03	1.78E+04	1.61E+03	6.04E+00
5.00E+03	1.66E+04	1.44E+03	5.31E+00
5.50E+03	1.55E+04	1.29E+03	4.71E+00
6.30E+03	1.39E+04	1.09E+03	3.93E+00
7.10E+03	1.25E+04	9.31E+02	3.33E+00
8.00E+03	1.12E+04	7.91E+02	2.80E+00
9.00E+03	9.89E+03	6.70E+02	2.35E+00
1.00E+04	8.79E+03	5.75E+02	2.01E+00
1.10E+04	7.84E+03	5.00E+02	1.73E+00
1.20E+04	7.03E+03	4.39E+02	1.51E+00
1.40E+04	5.73E+03	3.46E+02	1.18E+00
1.60E+04	4.75E+03	2.81E+02	9.53E-01
1.80E+04	4.01E+03	2.33E+02	7.87E-01
2.00E+04	3.42E+03	1.97E+02	6.62E-01
3.00E+04	1.66E+03	9.14E+01	3.01E-01
4.00E+04	9.50E+02	5.12E+01	1.66E-01
5.00E+04	5.87E+02	3.13E+01	1.01E-01
6.00E+04	3.76E+02	1.98E+01	6.34E-02
7.00E+04	2.41E+02	1.26E+01	4.02E-02
8.00E+04	1.49E+02	7.79E+00	2.46E-02
9.00E+04	8.36E+01	4.35E+00	1.37E-02
1.00E+05	3.50E+01	1.81E+00	5.69E-03
