1.00E+00	4.89E+04	7.01E+03	3.03E+01
1.10E+00	4.89E+04	7.01E+03	3.03E+01
1.20E+00	4.89E+04	7.01E+03	3.03E+01
1.40E+00	4.89E+04	7.01E+03	3.03E+01
1.60E+00	4.89E+04	7.01E+03	3.03E+01
1.80E+00	4.89E+04	7.01E+03	3.03E+01
2.00E+00	4.89E+04	7.01E+03	3.03E+01
2.20E+00	4.89E+04	7.01E+03	3.03E+01
2.50E+00	4.89E+04	7.01E+03	3.03E+01
2.80E+00	4.89E+04	7.01E+03	3.03E+01
3.20E+00	4.89E+04	7.01E+03	3.03E+01
3.50E+00	4.89E+04	7.01E+03	3.03E+01
4.00E+00	4.89E+04	7.01E+03	3.03E+01
4.50E+00	4.89E+04	7.01E+03	3.03E+01
5.00E+00	4.89E+04	7.01E+03	3.03E+01
5.50E+00	4.89E+04	7.01E+03	3.03E+01
6.30E+00	4.89E+04	7.01E+03	3.03E+01
7.10E+00	4.89E+04	7.01E+03	3.03E+01
8.00E+00	4.89E+04	7.01E+03	3.03E+01
9.00E+00	4.89E+04	7.01E+03	3.03E+01
1.00E+01	4.89E+04	7.01E+03	3.03E+01
1.10E+01	4.89E+04	7.01E+03	3.03E+01
1.20E+01	4.89E+04	7.01E+03	3.03E+01
1.40E+01	4.89E+04	7.01E+03	3.03E+01
1.60E+01	4.89E+04	7.01E+03	3.03E+01
1.80E+01	4.89E+04	7.01E+03	3.03E+01
2.00E+01	4.89E+04	7.01E+03	3.03E+01
2.20E+01	4.89E+04	7.01E+03	3.03E+01
2.50E+01	4.89E+04	7.01E+03	3.03E+01
2.80E+01	4.89E+04	7.01E+03	3.03E+01
3.20E+01	4.89E+04	7.01E+03	3.03E+01
3.50E+01	4.89E+04	7.01E+03	3.03E+01
4.00E+01	4.89E+04	7.01E+03	3.03E+01
4.50E+01	4.89E+04	7.01E+03	3.03E+01
5.00E+01	4.89E+04	7.01E+03	3.03E+01
5.50E+01	4.89E+04	7.00E+03	3.03E+01
6.30E+01	4.89E+04	7.00E+03	3.03E+01
7.10E+01	4.89E+04	7.00E+03	3.02E+01
8.00E+01	4.88E+04	7.00E+03	3.02E+01
9.00E+01	4.88E+04	6.99E+03	3.02E+01
1.00E+02	4.88E+04	6.99E+03	3.02E+01
1.10E+02	4.88E+04	6.98E+03	3.01E+01
1.20E+02	4.88E+04	6.98E+03	3.01E+01
1.40E+02	4.88E+04	6.96E+03	3.00E+01
1.60E+02	4.88E+04	6.94E+03	2.99E+01
1.80E+02	4.88E+04	6.92E+03	2.98E+01
2.00E+02	4.88E+04	6.89E+03	2.97E+01
2.20E+02	4.87E+04	6.86E+03	2.95E+01
2.50E+02	4.87E+04	6.82E+03	2.93E+01
2.80E+02	4.86E+04	6.77E+03	2.90E+01
3.20E+02	4.85E+04	6.69E+03	2.87E+01
3.50E+02	4.84E+04	6.64E+03	2.84E+01
4.00E+02	4.81E+04	6.54E+03	2.79E+01
4.50E+02	4.79E+04	6.43E+03	2.74E+01
5.00E+02	4.76E+04	6.33E+03	2.69E+01
5.50E+02	4.72E+04	6.22E+03	2.64E+01
6.30E+02	4.66E+04	6.05E+03	2.56E+01
7.10E+02	4.60E+04	5.88E+03	2.48E+01
8.00E+02	4.52E+04	5.69E+03	2.39E+01
9.00E+02	4.43E+04	5.49E+03	2.30E+01
1.00E+03	4.35E+04	5.30E+03	2.21E+01
1.10E+03	4.26E+04	5.11E+03	2.12E+01
1.20E+03	4.17E+04	4.93E+03	2.03E+01
1.40E+03	3.99E+04	4.59E+03	1.88E+01
1.60E+03	3.83E+04	4.28E+03	1.73E+01
1.80E+03	3.67E+04	3.99E+03	1.60E+01
2.00E+03	3.52E+04	3.73E+03	1.49E+01
2.20E+03	3.38E+04	3.49E+03	1.38E+01
2.50E+03	3.18E+04	3.17E+03	1.25E+01
2.80E+03	3.00E+04	2.90E+03	1.13E+01
3.20E+03	2.78E+04	2.58E+03	9.93E+00
3.50E+03	2.62E+04	2.38E+03	9.04E+00
4.00E+03	2.39E+04	2.08E+03	7.77E+00
4.50E+03	2.19E+04	1.82E+03	6.73E+00
5.00E+03	2.01E+04	1.61E+03	5.88E+00
5.50E+03	1.86E+04	1.43E+03	5.18E+00
6.30E+03	1.64E+04	1.20E+03	4.28E+00
7.10E+03	1.46E+04	1.01E+03	3.60E+00
8.00E+03	1.29E+04	8.56E+02	3.01E+00
9.00E+03	1.13E+04	7.20E+02	2.51E+00
1.00E+04	9.94E+03	6.14E+02	2.13E+00
1.10E+04	8.80E+03	5.31E+02	1.83E+00
1.20E+04	7.83E+03	4.64E+02	1.59E+00
1.40E+04	6.30E+03	3.64E+02	1.24E+00
1.60E+04	5.18E+03	2.94E+02	9.92E-01
1.80E+04	4.34E+03	2.43E+02	8.16E-01
2.00E+04	3.69E+03	2.05E+02	6.85E-01
3.00E+04	1.75E+03	9.38E+01	3.08E-01
4.00E+04	9.89E+02	5.22E+01	1.69E-01
5.00E+04	6.07E+02	3.18E+01	1.02E-01
6.00E+04	3.87E+02	2.01E+01	6.43E-02
7.00E+04	2.47E+02	1.28E+01	4.07E-02
8.00E+04	1.53E+02	7.89E+00	2.49E-02
9.00E+04	8.55E+01	4.40E+00	1.38E-02
1.00E+05	3.57E+01	1.83E+00	5.74E-03
