0.04	3.47E+09	9.81E+09
0.1	1.97E+09	5.80E+09
0.2	6.41E+08	2.17E+09
0.3	3.01E+08	9.55E+08
0.4	1.83E+08	5.07E+08
0.5	1.16E+08	2.98E+08
0.6	8.95E+07	2.18E+08
0.7	6.96E+07	1.64E+08
0.8	5.61E+07	1.29E+08
1	3.90E+07	8.79E+07
1.25	2.57E+07	5.96E+07
1.5	1.70E+07	4.06E+07
1.75	1.16E+07	2.73E+07
2	7.97E+06	1.84E+07
2.25	5.49E+06	1.25E+07
2.5	3.79E+06	8.56E+06
2.75	2.51E+06	5.40E+06
3	1.71E+06	3.45E+06
3.25	1.17E+06	2.17E+06
3.5	8.11E+05	1.37E+06
3.75	5.35E+05	8.18E+05
4	3.57E+05	4.90E+05
4.25	2.17E+05	2.74E+05
4.5	1.33E+05	1.54E+05
4.75	7.69E+04	8.48E+04
5	4.45E+04	4.65E+04
5.5	1.06E+04	1.06E+04
6	1.39E+03	1.39E+03
6.5	0.00E+00	0.00E+00
7	0.00E+00	0.00E+00
