0.1	5.11E+07	2.27E+07
0.15	4.26E+07	1.78E+07
0.2	3.60E+07	1.41E+07
0.3	2.72E+07	9.59E+06
0.4	2.12E+07	6.77E+06
0.5	1.78E+07	5.10E+06
0.6	1.53E+07	3.96E+06
0.7	1.34E+07	3.31E+06
1	9.95E+06	2.24E+06
1.5	7.26E+06	1.68E+06
2	5.65E+06	1.42E+06
3	4.13E+06	1.25E+06
4	3.23E+06	1.16E+06
5	2.76E+06	1.11E+06
6	2.42E+06	1.08E+06
7	2.22E+06	1.05E+06
10	1.87E+06	9.79E+05
15	1.63E+06	9.20E+05
20	1.50E+06	8.77E+05
30	1.34E+06	8.08E+05
40	1.21E+06	7.49E+05
50	1.10E+06	6.96E+05
60	9.84E+05	6.37E+05
70	8.76E+05	5.83E+05
100	6.14E+05	4.42E+05
150	3.19E+05	2.49E+05
200	1.71E+05	1.44E+05
300	4.93E+04	4.33E+04
400	1.44E+04	1.33E+04
